record_id,survey_code,interview_date,department_code,municipality_code,urban_rural,respondent_age,respondent_sex,household_size,monthly_income_gtq
VIDEO-000001,ENHOGAR,2026-08-06,01,0101,U,36,F,6,1540.00
VIDEO-000002,ENHOGAR,2026-08-07,02,0202,U,43,M,1,1677.00
VIDEO-000003,ENHOGAR,2026-08-08,03,0303,R,50,X,4,1814.00
VIDEO-000004,ENHOGAR,2026-08-09,04,0404,U,57,NR,7,1951.00
VIDEO-000005,ENHOGAR,2026-08-10,05,0505,U,64,F,2,2088.00
VIDEO-000006,ENHOGAR,2026-08-11,06,0606,R,71,M,5,2225.00
VIDEO-000007,ENHOGAR,2026-08-12,07,0707,U,78,X,8,2362.00
VIDEO-000008,ENHOGAR,2026-08-13,08,0808,U,85,NR,3,2499.00
VIDEO-000009,ENHOGAR,2026-08-14,09,0909,R,19,F,6,2636.00
VIDEO-000010,ENHOGAR,2026-08-15,10,1010,U,26,M,1,2773.00
VIDEO-000011,ENHOGAR,2026-08-16,11,1111,U,33,X,4,2910.00
VIDEO-000012,ENHOGAR,2026-08-17,12,1212,R,40,NR,7,3047.00
VIDEO-000013,ENHOGAR,2026-08-18,13,1313,U,47,F,2,3184.00
VIDEO-000014,ENHOGAR,2026-08-19,14,1414,U,54,M,5,3321.00
VIDEO-000015,ENHOGAR,2026-08-20,15,1515,R,61,X,8,3458.00
VIDEO-000016,ENHOGAR,2026-08-01,16,1616,U,68,NR,3,3595.00
VIDEO-000017,ENHOGAR,2026-08-02,17,1717,U,75,F,6,3732.00
VIDEO-000018,ENHOGAR,2026-08-03,18,1818,R,82,M,1,3869.00
VIDEO-000019,ENHOGAR,2026-08-04,19,1919,U,89,X,4,4006.00
VIDEO-000020,ENHOGAR,2026-08-05,20,2020,U,23,NR,7,4143.00
VIDEO-000021,ENHOGAR,2026-08-06,21,2121,R,30,F,2,4280.00
VIDEO-000022,ENHOGAR,2026-08-07,22,2222,U,37,M,5,4417.00
VIDEO-000023,ENHOGAR,2026-08-08,01,0123,U,44,X,8,4554.00
VIDEO-000024,ENHOGAR,2026-08-09,02,0224,R,51,NR,3,4691.00
VIDEO-000025,ENHOGAR,2026-08-10,03,0325,U,58,F,6,4828.00
VIDEO-000026,ENHOGAR,2026-08-11,04,0426,U,65,M,1,4965.00
VIDEO-000027,ENHOGAR,2026-08-12,05,0527,R,72,X,4,5102.00
VIDEO-000028,ENHOGAR,2026-08-13,06,0628,U,79,NR,7,5239.00
VIDEO-000029,ENHOGAR,2026-08-14,07,0729,U,86,F,2,5376.00
VIDEO-000030,ENHOGAR,2026-08-15,08,0830,R,20,M,5,5513.00
VIDEO-000031,ENHOGAR,2026-08-16,09,0931,U,27,X,8,5650.00
VIDEO-000032,ENHOGAR,2026-08-17,10,1032,U,34,NR,3,5787.00
VIDEO-000033,ENHOGAR,2026-08-18,11,1133,R,41,F,6,5924.00
VIDEO-000034,ENHOGAR,2026-08-19,12,1234,U,48,M,1,6061.00
VIDEO-000035,ENHOGAR,2026-08-20,13,1335,U,55,X,4,6198.00
VIDEO-000036,ENHOGAR,2026-08-01,14,1436,R,62,NR,7,6335.00
VIDEO-000037,ENHOGAR,2026-08-02,15,1537,U,69,F,2,6472.00
VIDEO-000038,ENHOGAR,2026-08-03,16,1638,U,76,M,5,6609.00
VIDEO-000039,ENHOGAR,2026-08-04,17,1739,R,83,X,8,6746.00
VIDEO-000040,ENHOGAR,2026-08-05,18,1840,U,90,NR,3,6883.00
VIDEO-000041,ENHOGAR,2026-08-06,19,1941,U,24,F,6,7020.00
VIDEO-000042,ENHOGAR,2026-08-07,20,2042,R,31,M,1,7157.00
VIDEO-000043,ENHOGAR,2026-08-08,21,2143,U,38,X,4,7294.00
VIDEO-000044,ENHOGAR,2026-08-09,22,2244,U,45,NR,7,7431.00
