record_id,survey_code,interview_date,department_code,municipality_code,urban_rural,respondent_age,respondent_sex,household_size,monthly_income_gtq
HOGAR-000001,ENHOGAR,2026-08-01,01,0101,U,25,F,4,1037.00
HOGAR-000002,ENHOGAR,2026-08-02,02,0202,U,32,M,7,1174.00
HOGAR-000003,ENHOGAR,2026-08-03,03,0303,R,39,X,2,1311.00
HOGAR-000004,ENHOGAR,2026-08-04,04,0404,U,46,NR,5,1448.00
HOGAR-000005,ENHOGAR,2026-08-05,05,0505,U,53,F,8,1585.00
HOGAR-000006,ENHOGAR,2026-08-06,06,0606,R,60,M,3,1722.00
HOGAR-000007,ENHOGAR,2026-08-07,07,0707,U,67,X,6,1859.00
HOGAR-000008,ENHOGAR,2026-08-08,08,0808,U,74,NR,1,1996.00
HOGAR-000009,ENHOGAR,2026-08-09,09,0909,R,81,F,4,2133.00
HOGAR-000010,ENHOGAR,2026-08-10,10,1010,U,88,M,7,2270.00
HOGAR-000011,ENHOGAR,2026-08-11,11,1111,U,22,X,2,2407.00
HOGAR-000012,ENHOGAR,2026-08-12,12,1212,R,29,NR,5,2544.00
HOGAR-000013,ENHOGAR,2026-08-13,13,1313,U,36,F,8,2681.00
HOGAR-000014,ENHOGAR,2026-08-14,14,1414,U,43,M,3,2818.00
HOGAR-000015,ENHOGAR,2026-08-15,15,1515,R,50,X,6,2955.00
HOGAR-000016,ENHOGAR,2026-08-16,16,1616,U,57,NR,1,3092.00
HOGAR-000017,ENHOGAR,2026-08-17,17,1717,U,64,F,4,3229.00
HOGAR-000018,ENHOGAR,2026-08-18,18,1818,R,71,M,7,3366.00
HOGAR-000019,ENHOGAR,2026-08-19,19,1919,U,78,X,2,3503.00
HOGAR-000020,ENHOGAR,2026-08-20,20,2020,U,85,NR,5,3640.00
HOGAR-000021,ENHOGAR,2026-08-21,21,2121,R,19,F,8,3777.00
HOGAR-000022,ENHOGAR,2026-08-22,22,2222,U,26,M,3,3914.00
HOGAR-000023,ENHOGAR,2026-08-23,01,0123,U,33,X,6,4051.00
HOGAR-000024,ENHOGAR,2026-08-24,02,0224,R,40,NR,1,4188.00
HOGAR-000025,ENHOGAR,2026-08-25,03,0325,U,47,F,4,4325.00
HOGAR-000026,ENHOGAR,2026-08-26,04,0426,U,54,M,7,4462.00
HOGAR-000027,ENHOGAR,2026-08-27,05,0527,R,61,X,2,4599.00
HOGAR-000028,ENHOGAR,2026-08-28,06,0628,U,68,NR,5,4736.00
HOGAR-000029,ENHOGAR,2026-08-01,07,0729,U,75,F,8,4873.00
HOGAR-000030,ENHOGAR,2026-08-02,08,0830,R,82,M,3,5010.00
HOGAR-000031,ENHOGAR,2026-08-03,09,0931,U,89,X,6,5147.00
HOGAR-000032,ENHOGAR,2026-08-04,10,1032,U,23,NR,1,5284.00
HOGAR-000033,ENHOGAR,2026-08-05,11,1133,R,30,F,4,5421.00
HOGAR-000034,ENHOGAR,2026-08-06,12,1234,U,37,M,7,5558.00
HOGAR-000035,ENHOGAR,2026-08-07,13,1335,U,44,X,2,5695.00
HOGAR-000036,ENHOGAR,2026-08-08,14,1436,R,51,NR,5,5832.00
