record_id,survey_code,interview_date,department_code,municipality_code,urban_rural,respondent_age,respondent_sex,household_size,monthly_income_gtq
HOGAR-0001,ENHOGAR,2026-08-20,01,0101,U,34,F,4,4250.00
HOGAR-0002,ENHOGAR,2026-08-20,07,0704,R,52,M,2,1800.50
HOGAR-0003,ENHOGAR,2026-08-19,13,1301,U,29,X,3,3200.00
HOGAR-0004,ENHOGAR,2026-08-18,18,1802,R,61,F,5,
HOGAR-0005,ENHOGAR,2026-08-17,20,2003,U,40,M,1,0.00
HOGAR-0006,ENHOGAR,2026-08-16,04,0401,R,22,NR,6,2750.75
HOGAR-0007,ENHOGAR,2026-08-15,08,0807,U,18,F,3,1450.00
HOGAR-0008,ENHOGAR,2026-08-14,09,0901,R,73,M,2,900.00
HOGAR-0009,ENHOGAR,2026-08-13,14,1406,U,45,F,4,5600.20
" HOGAR-0010 ",ENHOGAR,2026-08-12,05,0502,U,37,M,3,2100.00
HOGAR-0005,ENHOGAR,2026-08-11,20,2003,U,40,M,1,0.00
HOGAR-0012,ENHOGAR,2027-01-05,06,0601,R,31,F,4,1900.00
HOGAR-0013,ENHOGAR,2026-08-10,03,0302,U,145,F,2,1500.00
HOGAR-0014,ENHOGAR,2026-08-09,11,1105,X,28,M,3,2750.00
HOGAR-0015,ENHOGAR,2026-08-08,12,1201,R,26,Z,2,1300.00
HOGAR-0016,ENHOGAR,2026-08-07,16,1603,U,33,F,0,2200.00
HOGAR-0017,ENHOGAR,2026-08-06,17,1702,R,48,M,4,-125.00
HOGAR-0018,ENHOGAR,2026-08-05,,0102,U,39,F,3,3100.00
HOGAR-0019,ENHOGAR,2026-02-30,02,0204,U,27,F,2,1750.00
HOGAR-0020,ENHOGAR,2026-08-03,10,1006,R,,M,3,1450.00
